tender_id,decision,reason,product_category,tender_name
"92649120","garbage","фильтры/запчасти","enterprise_rag_llm_assistant","2603-Фильтры для технологического оборудования запасные части/ АО «Золото Селигдара»"
"92649121","garbage","гофрокартон","enterprise_rag_llm_assistant","Гофрокартон_АЗОТ_май_2026г."
"92649122","garbage","услуги перевода","enterprise_rag_llm_assistant","Оказание услуг по переводу информации на английский, китайский и арабский языки"
"92649131","garbage","з/ч для АТУ","enterprise_rag_llm_assistant","""Плановая закупка з/ч для АТУ по заявке №38"""
"92651000","garbage","устройство пола (стройка)","enterprise_rag_llm_assistant","ЖК Форум: устройство пола переходных балконов"
"92651001","garbage","замена секций корпуса элеватора","enterprise_rag_llm_assistant","Замена элементов (секций) корпуса элеватора поз.8/1 Замена элементов (секций) корпуса элеватора поз.8/1. Секции корпуса предоставл"
"92651003","garbage","краска (стройматериалы)","enterprise_rag_llm_assistant","Поставка в адрес ООО ""ДСК1-РОСТОКИНО"" с фиксацией цены апрель-июнь 2026г.: краска аэрозольная Краска аэрозольная"
"92651005","garbage","монтаж опор контейнеров","enterprise_rag_llm_assistant","Выполнение монтажных работ системы опор контейнеров ДГУ."
"92651007","garbage","замена путей крана","enterprise_rag_llm_assistant","Замена путей крана мостового однобалочного на карандашном участке ПШ 8х4х8 на комбинате НАО «СВЕЗА Кострома»"
"92651008","garbage","экологическая документация","enterprise_rag_llm_assistant","Оказание услуг по разработке экологической документации для АО ""Ремстрой"""
"92651009","garbage","клапан для завода напитков","enterprise_rag_llm_assistant","OPEX: ""Закупка Kлапан 5/2 KHS для завода ""Напитки Вместе""/АО «АБ ИнБев Эфес» г. Волжский""_5490392"
"92651010","garbage","тепловые пушки/калориферы","enterprise_rag_llm_assistant","2603-Пушки тепловые, калориферы/ ООО АС «Поиск»"
"32615749789","garbage","placeholder «Поставка товара»","ai_software_services","Поставка товара"
"92376602","garbage","placeholder «Нематериальные активы»","enterprise_rag_llm_assistant","""Нематериальные активы"""
"92227391","garbage","продление лицензии (не AI)","medical_ai_support","Оказание услуг по продлению на условиях простой (неисключительной) лицензии прав на использование программного продукта «1С: КП ГУ"
"0854600000226000001","keep","настоящий софт/ИС/AI","analytics_monitoring","Предоставление неисключительного права на использование программ для ЭВМ: «Программный комплекс автоматизации бизнес – процессов п"
"91802544","garbage","оргтехника","analytics_monitoring","Закупка оргтехники г. Энгельс"
"32515583179","garbage","SIP-телефония","software_services","Оказание услуг местной телефонной связи (sip телефония (АТС)) в 2026 г. по адресу: г. Москва, ул. Молодогвардейская, дом 46 корп.1"
"32515582514","keep","настоящий софт/ИС/AI","analytics_monitoring","Развитие и техническое сопровождение системы в рамках оказания услуг по реализации мероприятий в рамках проводимых центральными ис"
"91188656","keep","настоящий софт/ИС/AI","analytics_monitoring","Оказание услуг по сопровождению подсистем информационно-аналитической системы для автоматизации деятельности регионального операто"
"0138300000125000597","garbage","неисключит. права (generic)","process_automation","ЭА412-25 На Оказание услуг на предоставление неисключительных (пользовательских) прав на использование программных комплексов «Бюд"
"0818500000825010213","keep","настоящий софт/ИС/AI","medical_ai_support","Оказание услуг по сопровождению подсистемы ГИС СЗ КК ""Региональный архив медицинских изображений, результатов диагностических иссл"
"32515491129","garbage","сопровождение 1С","software_services","Оказание услуг по предоставлению сервисного сопровождения программного продукта 1С: «1С:Университет ПРОФ. Активация возможности об"
"rq_0219100000225001046","garbage","электронные средства ориентации","medical_ai_support","Запрос цены. ЗАПРОС О предоставлении ценовой информации на поставку вспомогательных электронных средств ориентации с функциями опр"
"89663096","garbage","средства ИБ (поставка)","computer_vision","СРЕДСТВА ОБЕСПЕЧЕНИЯ ИНФОРМАЦИОННОЙ БЕЗОПАСНОСТИ"
"32515333024","garbage","планшеты для награждения","software_services","Поставка электронных планшетов для награждения участников XIX Международной научно-практической конференции «Державинские чтения» "
"rq_0318200073525000044","keep","настоящий софт/ИС/AI","medical_ai_support","Запрос цены. Оказание услуг по сопровождению подсистемы ГИС СЗ КК ""Региональный архив медицинских изображений, результатов диагнос"
"32515283240","garbage","сопровождение 1С","software_services","Оказание услуг по предоставлению сервисного сопровождения программного продукта 1С: «1С:Бухгалтерия государственного учреждения 8 "
"rq_0219100000225000748","garbage","электронные средства ориентации","medical_ai_support","Запрос цены. ЗАПРОС О предоставлении ценовой информации на поставку вспомогательных электронных средств ориентации с функциями опр"
"rq_0219100000225000718","garbage","электронные средства ориентации","medical_ai_support","Запрос цены. ЗАПРОС О предоставлении ценовой информации на поставку вспомогательных электронных средств ориентации с функциями опр"
"88075460","garbage","лицензия ПО (generic)","enterprise_rag_llm_assistant","Предоставление права использования программы для ЭВМ на условиях простой (неисключительной) лицензии"
"rq_0219100000225000695","garbage","электронные средства ориентации","medical_ai_support","Запрос цены. ЗАПРОС О предоставлении ценовой информации на поставку вспомогательных электронных средств ориентации с функциями опр"
"87557270","garbage","сертификат поддержки (resale)","software_services","Сертификат на пакет услуг Профессиональных сервисов Monq; Бессрочная неисключительная лицензия на право использования ПО"
"87495882","garbage","передача лицензий ПО (generic)","software_services","Предоставление (передача) простых (неисключительных) лицензий на программы для ЭВМ правообладателей ООО «Примо РПА» и ООО «Контент"
"rq_0173200023325000071","garbage","сертификат техподдержки","software_services","Запрос цены. Поставка сертификата на техническую поддержку информационно-технологического оборудования"
"32514887995","garbage","оптоволокно (связь)","software_services","Оказание услуг связи по предоставлению оптического волокна по трассе: г. Москва, ул. Олеко Дундича, д. 11 – г. Москва, ул. Молодог"
"32514889135","garbage","интернет-канал (связь)","software_services","Оказание услуг связи по предоставлению доступа к каналам передачи данных сети Интернет на объектах Заказчика с 01.06.2025 по 31.08"
"86029633","keep","настоящий софт/ИС/AI","analytics_monitoring","Оказание услуг по сопровождению подсистем информационно-аналитической системы для автоматизации деятельности регионального операто"
"85826705","garbage","КП на лицензию (generic)","software_services","Запрос коммерческих предложений с целью обоснования НМЦД на приобретение лицензии для доступа в ГИС"
"32514668326","garbage","сопровождение системы образования (generic)","software_services","Оказание услуг по техническому сопровождению систем управления образовательным процессом и ресурсами интеграционных модулей: ""CDO."
"32514652004","garbage","телефонная связь","software_services","Оказание услуг автоматической телефонной связи с 01.04.2025 по 31.12.2025 (внутризоновой, междугородной) по адресу: г. Москва, ул."
"0345100003325000012","garbage","железо CCTV (охранное ТВ)","computer_vision","Поставка оборудования для системы охранной телевизионной"
"32514630569","garbage","сопровождение 1С","software_services","Оказание услуг по предоставлению сервисного сопровождения программного продукта 1С: «1С:Бухгалтерия государственного учреждения 8 "
