tender_num,classification,relevant,score,reason,domain_terms,ai_automation_terms,platform_terms,negative_terms,queries,groups,sources,fz,status,name,customer,price_rub,publish_date,deadline,tender_link
"0173100010926000043","edo_automation","yes","23","найдено в карточке/документах ЕИС; класс=edo_automation; совпадения: электронного документооборота, документооборот, автоматизированной системы","электронного документооборота; документооборот","автоматизированной системы","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота"" | ""регистрация документов""","edo_core; edo_workflow","card; attached_file","44-ФЗ Открытый конкурс в электронной форме","Подача заявок","Выполнение работ по развитию автоматизированной системы электронного документооборота в центральном аппарате и территориальных органах Росреестра","ФЕДЕРАЛЬНАЯ СЛУЖБА ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ, КАДАСТРА И КАРТОГРАФИИ","7000000.00","28.05.2026","15.06.2026","https://zakupki.gov.ru/epz/order/notice/ok20/view/common-info.html?regNumber=0173100010926000043"
"0108500000426003229","noise","no","23","найдено в карточке ЕИС; класс=noise; совпадения: электронного документооборота, система электронного документооборота, документооборот","электронного документооборота; система электронного документооборота; документооборот","","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота""","edo_core","card","44-ФЗ Запрос котировок в электронной форме","Подача заявок","Оказание услуг по доработке (настройке и адаптации) государственной информационной системы «Система электронного документооборота в государственных органах Республики Марий Эл» в целях интеграции с региональной витриной данных Республики Марий Эл","КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК РЕСПУБЛИКИ МАРИЙ ЭЛ","4985400.00","27.05.2026","03.06.2026","https://zakupki.gov.ru/epz/order/notice/zk20/view/common-info.html?regNumber=0108500000426003229"
"0143200000926000021","edo_automation","yes","22","найдено в карточке ЕИС; класс=edo_automation; совпадения: электронного документооборота, документооборот, автоматизации делопроизводства","электронного документооборота; документооборот","автоматизации делопроизводства","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота"" | делопроизводство | ""автоматизация документооборота""","edo_core; edo_automation","card","44-ФЗ Электронный аукцион","Подача заявок","Оказание услуг по передаче неисключительных прав на использование программного обеспечения в составе лицензии - модуль взаимодействия с системой межведомственного электронного документооборота и его адаптации для системы автоматизации делопроизводства и электронного документооборота «Дело»","КУРГАНСКАЯ ОБЛАСТНАЯ ДУМА","367000.00","22.05.2026","01.06.2026","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0143200000926000021"
"0154200000726000384","edo_automation","yes","22","найдено в карточке ЕИС; класс=edo_automation; совпадения: электронного документооборота, документооборот, автоматизации делопроизводства","электронного документооборота; документооборот","автоматизации делопроизводства","","","""система электронного документооборота"" | ""автоматизация документооборота""","edo_core; edo_automation","card","44-ФЗ Электронный аукцион","Определение поставщика завершено","Оказание услуг по передаче неисключительных (пользовательских) прав на программное обеспечение «Модуль взаимодействия с МЭДО. Расширенный» для системы автоматизации делопроизводства и электронного документооборота в органах исполнительной власти Орловской области","ДЕПАРТАМЕНТ ЭКОНОМИЧЕСКОГО РАЗВИТИЯ И ИНВЕСТИЦИОННОЙ ДЕЯТЕЛЬНОСТИ ОРЛОВСКОЙ ОБЛАСТИ","2782500.00","07.05.2026","15.05.2026","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0154200000726000384"
"0172200006726000028","edo_automation","yes","20","найдено в карточке ЕИС; класс=edo_automation; совпадения: электронного документооборота, документооборот, автоматизированной системы","электронного документооборота; документооборот","автоматизированной системы","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота""","edo_core","card","44-ФЗ Электронный аукцион","Определение поставщика завершено","Оказание услуг по миграции эксплуатируемой базы данных автоматизированной системы электронного документооборота Контрольно-счетной палаты Санкт-Петербурга на программной платформе ""Дело"" на отечественную платформу на базе СУБД Postgres Pro и ОС ""РЕД ОС""","КОНТРОЛЬНО-СЧЕТНАЯ ПАЛАТА САНКТ-ПЕТЕРБУРГА","1066800.00","13.05.2026","21.05.2026","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0172200006726000028"
"0256100000426000022","edo_platform_generic","yes","18","найдено в карточке/документах ЕИС; класс=edo_platform_generic; совпадения: электронного документооборота, документооборот, лицензия","электронного документооборота; документооборот","","лицензия","","""электронный документооборот"" | ""электронного документооборота""","edo_core","attached_file","44-ФЗ Открытый конкурс в электронной форме","Подача заявок","Закупка работ по предоставлению права использования (простая (неисключительная) лицензия) на программу для ЭВМ Directum RX (или эквивалент) и по внедрению программного обеспечения для электронного документооборота на базе предоставленной неисключительной лицензии.","ТЕРРИТОРИАЛЬНЫЙ ФОНД ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ ПЕРМСКОГО КРАЯ","11979287.33","15.05.2026","01.06.2026","https://zakupki.gov.ru/epz/order/notice/ok20/view/common-info.html?regNumber=0256100000426000022"
"0118300013326000793","noise","no","17","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронного документооборота, документооборот","электронного документооборота; документооборот","","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота""","edo_core","card; attached_file","44-ФЗ Запрос котировок в электронной форме","Подача заявок","Оказание услуг по сопровождению системы электронного документооборота в администрации муниципального образования город Новороссийск","АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД НОВОРОССИЙСК","7030000.00","27.05.2026","03.06.2026","https://zakupki.gov.ru/epz/order/notice/zk20/view/common-info.html?regNumber=0118300013326000793"
"0373100037626000059","noise","no","17","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронного документооборота, документооборот","электронного документооборота; документооборот","","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота""","edo_core","card; attached_file","44-ФЗ Электронный аукцион","Подача заявок","Оказание услуг по развитию и модернизации системы электронного документооборота на базе программы для ЭВМ Directum RХ для нужд федерального государственного бюджетного образовательного учреждения высшего образования «Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации» (РАНХиГС)","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""РОССИЙСКАЯ АКАДЕМИЯ НАРОДНОГО ХОЗЯЙСТВА И ГОСУДАРСТВЕННОЙ СЛУЖБЫ ПРИ ПРЕЗИДЕНТЕ РОССИЙСКОЙ ФЕДЕРАЦИИ""","13466241.80","27.05.2026","04.06.2026","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0373100037626000059"
"32616046911","noise","no","17","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронного документооборота, документооборот","электронного документооборота; документооборот","","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота""","edo_core","card; attached_file","223-ФЗ Запрос котировок в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства","Подача заявок","Оказание услуг по предоставлению права на использование программного обеспечения «Утилита обновления» для системы электронного документооборота «Дело»","""КРАЕВОЙ КОММЕРЧЕСКИЙ СИБИРСКИЙ СОЦИАЛЬНЫЙ БАНК"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ","121700.00","26.05.2026","02.06.2026","https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32616046911"
"0373100014626000079","noise","no","17","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронного документооборота, документооборот","электронного документооборота; документооборот","","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота"" | СЭД","edo_core","card; attached_file","44-ФЗ Электронный аукцион","Подача заявок","Выполнение работ по развитию путем адаптации информационной системы электронного документооборота Министерства здравоохранения Российской Федерации в 2026 году (ЦИТЭП)","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛЬНЫЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ОРГАНИЗАЦИИ И ИНФОРМАТИЗАЦИИ ЗДРАВООХРАНЕНИЯ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ","49900000.00","26.05.2026","03.06.2026","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0373100014626000079"
"0873400003626000044","noise","no","17","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронного документооборота, документооборот","электронного документооборота; документооборот","","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота""","edo_core","card; attached_file","44-ФЗ Электронный аукцион","Подача заявок","Оказание услуг по сервисному сопровождению программного обеспечения ""Дело"" системы электронного документооборота","ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 52582""","1279355.67","26.05.2026","03.06.2026","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0873400003626000044"
"32616039500","noise","no","17","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронного документооборота, документооборот","электронного документооборота; документооборот","","","","""электронный документооборот"" | ""электронного документооборота""","edo_core","card; attached_file","223-ФЗ Иной способ","Закупка завершена","Услуги по технической поддержке средств криптографической защиты информации ViPNet для защиты электронного документооборота","БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ОМСКОЙ ОБЛАСТИ ""НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР""","443698.32","25.05.2026","27.05.2026","https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32616039500"
"0821600002226000173","noise","no","17","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронного документооборота, документооборот","электронного документооборота; документооборот","","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота""","edo_core","card; attached_file","44-ФЗ Электронный аукцион","Подача заявок","Услуги по переносу данных системы электронного документооборота на новую СУБД","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ЦЕНТРАЛИЗАЦИИ ЗАКУПОК ШПАКОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА СТАВРОПОЛЬСКОГО КРАЯ""","360000.00","25.05.2026","02.06.2026","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0821600002226000173"
"0173100005026000010","noise","no","17","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронного документооборота, документооборот","электронного документооборота; документооборот","","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота""","edo_core","card; attached_file","44-ФЗ Открытый конкурс в электронной форме","Подача заявок","Услуги по технической поддержке системы электронного документооборота Федеральной службы по надзору в сфере транспорта (в рамках ГИС)","ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ТРАНСПОРТА","6100000.00","25.05.2026","12.06.2026","https://zakupki.gov.ru/epz/order/notice/ok20/view/common-info.html?regNumber=0173100005026000010"
"0107100005126000027","noise","no","17","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронного документооборота, документооборот","электронного документооборота; документооборот","","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота""","edo_core","card; attached_file","44-ФЗ Электронный аукцион","Подача заявок","Продление права использования и абонентского обслуживания системы защищенного электронного документооборота, предназначенной для формирования и отправки отчетности в контролирующие органы","ВЕРХОВНЫЙ СУД РЕСПУБЛИКИ КОМИ","33807.33","22.05.2026","01.06.2026","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0107100005126000027"
"0826500000926001638","noise","no","17","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронного документооборота, документооборот","электронного документооборота; документооборот","","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота""","edo_core","card; attached_file","44-ФЗ Электронный аукцион","Подача заявок","Оказание услуг по адаптации ранее установленного программного обеспечения системы электронного документооборота «Дело»","ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ БЕЛГОРОДСКОЙ ОБЛАСТИ ""ЦЕНТР ЗАКУПОК""","929651.10","22.05.2026","02.06.2026","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0826500000926001638"
"0318200068126000148","noise","no","17","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронный документооборот, документооборот","электронный документооборот; документооборот","","","","""электронный документооборот"" | ""электронного документооборота""","edo_core","card; attached_file","44-ФЗ Запрос котировок в электронной форме","Подача заявок","Оказание услуг по дополнительному профессиональному образованию безработных граждан по программам профессиональной переподготовки «Бухгалтерский учет» «Документационное обеспечение управления организацией, электронный документооборот: новые требования законодательства» «Охрана труда и техносферная безопасность» (для филиалов ГКУ КК ЦЗН Краснодарского края)","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""ЦЕНТР ЗАНЯТОСТИ НАСЕЛЕНИЯ КРАСНОДАРСКОГО КРАЯ""","302750.07","21.05.2026","28.05.2026","https://zakupki.gov.ru/epz/order/notice/zk20/view/common-info.html?regNumber=0318200068126000148"
"0318300018326000043","noise","no","17","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронного документооборота, документооборот","электронного документооборота; документооборот","","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота""","edo_core","card; attached_file","44-ФЗ Электронный аукцион","Определение поставщика завершено","Оказание услуг по сопровождению системы электронного документооборота в администрации муниципального образования Щербиновский муниципальный район Краснодарского края","АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ЩЕРБИНОВСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН КРАСНОДАРСКОГО КРАЯ","336800.00","14.05.2026","25.05.2026","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0318300018326000043"
"0134100005126000022","noise","no","17","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронного документооборота, документооборот","электронного документооборота; документооборот","","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота""","edo_core","card; attached_file","44-ФЗ Запрос котировок в электронной форме","Определение поставщика завершено","Продление права использования и абонентского обслуживания системы защищенного электронного документооборота, предназначенной для формирования и отправки отчетности в контролирующие органы","ИРКУТСКИЙ ОБЛАСТНОЙ СУД","48363.85","14.05.2026","21.05.2026","https://zakupki.gov.ru/epz/order/notice/zk20/view/common-info.html?regNumber=0134100005126000022"
"0873400003626000039","noise","no","17","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронного документооборота, документооборот","электронного документооборота; документооборот","","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота""","edo_core","attached_file; card","44-ФЗ Электронный аукцион","Определение поставщика отменено","Оказание услуг по сервисному сопровождению программного обеспечения ""Дело"" системы электронного документооборота","ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 52582""","1279355.67","12.05.2026","20.05.2026","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0873400003626000039"
"0373100032626000275","noise","no","17","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронного документооборота, документооборот","электронного документооборота; документооборот","","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота"" | СЭД","edo_core","attached_file; card","44-ФЗ Электронный аукцион","Определение поставщика завершено","Оказание услуг по модернизации автоматизированной информационной системы электронного документооборота ФГБУ «Российский научный центр рентгенорадиологии» Министерства здравоохранения Российской Федерации","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""РОССИЙСКИЙ НАУЧНЫЙ ЦЕНТР РЕНТГЕНОРАДИОЛОГИИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ","6012759.00","10.05.2026","18.05.2026","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0373100032626000275"
"0173100010426000001","noise","no","17","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронного документооборота, документооборот","электронного документооборота; документооборот","","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота"" | СЭД | делопроизводство","edo_core","card; attached_file","44-ФЗ Электронный аукцион","Определение поставщика завершено","Оказание услуг техническому сопровождению межведомственной системы электронного документооборота и делопроизводства «Дело»","ФЕДЕРАЛЬНОЕ АГЕНТСТВО ПО НЕДРОПОЛЬЗОВАНИЮ","16620000.01","08.05.2026","26.05.2026","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0173100010426000001"
