hypothesis_id,hypothesis_title,source,query,page,total,returned
"municipal-chatbot-contact-center","AI-контакт-центр и чат-бот для муниципальных услуг","search","виртуальный помощник","1","8","8"
"municipal-chatbot-contact-center","AI-контакт-центр и чат-бот для муниципальных услуг","search","виртуальный помощник","2","0","0"
"municipal-chatbot-contact-center","AI-контакт-центр и чат-бот для муниципальных услуг","documentation","виртуальный помощник","1","60","20"
"municipal-chatbot-contact-center","AI-контакт-центр и чат-бот для муниципальных услуг","documentation","виртуальный помощник","2","60","20"
"municipal-chatbot-contact-center","AI-контакт-центр и чат-бот для муниципальных услуг","search","контакт-центр","1","368","20"
"municipal-chatbot-contact-center","AI-контакт-центр и чат-бот для муниципальных услуг","search","контакт-центр","2","368","20"
"municipal-chatbot-contact-center","AI-контакт-центр и чат-бот для муниципальных услуг","documentation","контакт-центр","1","1019","20"
"municipal-chatbot-contact-center","AI-контакт-центр и чат-бот для муниципальных услуг","documentation","контакт-центр","2","1010","20"
"municipal-chatbot-contact-center","AI-контакт-центр и чат-бот для муниципальных услуг","search","единая система голосового обслуживания","1","25","20"
"municipal-chatbot-contact-center","AI-контакт-центр и чат-бот для муниципальных услуг","search","единая система голосового обслуживания","2","25","5"
"municipal-chatbot-contact-center","AI-контакт-центр и чат-бот для муниципальных услуг","documentation","единая система голосового обслуживания","1","427","20"
"municipal-chatbot-contact-center","AI-контакт-центр и чат-бот для муниципальных услуг","documentation","единая система голосового обслуживания","2","420","20"
